id,Label,Type,Type_Num
1,All in One Coin,Firm,1
2,Bitcoin,Coin,2
3,Ethereum,Coin,2
4,Ripple,Coin,2
5,Bitcoin Cash,Coin,2
6,Litecoin,Coin,2
7,Andreessen Horowitz,Firm,1
8,dyDx,Coin,2
9,Coinbase,Coin,2
10,Axoni,Coin,2
11,Basecoin,Coin,2
12,Authorito,Firm,1
13,Zcash,Coin,2
14,Monero,Coin,2
15,Bitwise Asset Management,Coin,2
16,Block Bits Capital,Firm,1
17,ICOs,Coin,2
18,Block Venture Project,Firm,1
19,Blockchain Capital,Firm,1
20,Sensay,Coin,2
21,Messari,Coin,2
22,Blockstack,Coin,2
23,Bitpesa,Coin,2
24,Blocktrade Capital,Firm,1
25,Dash,Coin,2
26,Blocktree Capital,Firm,1
27,Bitcon,Coin,2
28,EOS,Coin,2
29,TenX,Coin,2
30,Coinbase Index Fund,Firm,1
31,Coinsilium,Firm,1
32,Coindash,Coin,2
33,SatoshiPay,Coin,2
34,RSK,Coin,2
35,Rootstock,Coin,2
36,Helperbit,Coin,2
37,Columbus Capital,Firm,1
38,Crescent Crypto,Firm,1
39,CrowdWiz,Firm,1
40,Crypto 20,Firm,1
41,Crypto Asset Management,Firm,1
42,Crypto Bazar,Firm,1
43,ICON,Coin,2
44,Universa,Coin,2
45,Constellation,Coin,2
46,Crypto Lotus,Firm,1
47,CryptoIndex Capital Management,Firm,1
48,CryptoSky,Firm,1
49,Qtum,Coin,2
50,Cardano,Coin,2
51,Steam,Coin,2
52,Digital Currency Group,Firm,1
53,Ledger,Coin,2
54,Cambridge Blockchain,Coin,2
55,Wyre,Coin,2
56,Yours,Coin,2
57,FBG Capital,Firm,1
58,MakerDAO,Coin,2
59,Republic Protocol,Coin,2
60,Lino,Coin,2
61,NuCypher,Coin,2
62,Stream Token,Coin,2
63,Funders Club,Firm,1
64,ShapeShift,Coin,2
65,UnoCoin,Coin,2
66,Bitso,Coin,2
67,Simplex,Coin,2
68,Chainalysis,Coin,2
69,Galaxy Capital Partners,Firm,1
70,Grayscale,Firm,1
71,Hard Yaka,Firm,1
72,Filecoin,Coin,2
73,LedgerX,Coin,2
74,Helvetic Investments,Firm,1
75,Heymeyer,Firm,1
76,How 2 Ventures LLC,Firm,1
77,Civic,Coin,2
78,HyperChain Capital,Firm,1
79,iconomi,Coin,2
80,Tezos,Coin,2
81,AELF,Coin,2
82,Krypton Capital,Firm,1
83,Crypto Academy,Coin,2
84,cryptovest,Coin,2
85,tokentarget,Coin,2
86,Krypton Software,Coin,2
87,Kryptonite1 PLC,Firm,1
88,Bluzelle,Coin,2
89,Simple Token,Coin,2
90,elastos,Coin,2
91,Polkadot,Coin,2
92,Xledger,Coin,2
93,Lightspeed China Partners,Firm,1
94,BlockScore,Coin,2
95,BTC China,Coin,2
96,Ripple Labs,Coin,2
97,Melotic,Coin,2
98,Blockchain,Coin,2
99,Lightspeed Venture Partners,Firm,1
100,Metastable,Firm,1
101,Orchid Labs,Coin,2
102,Kadena,Coin,2
103,Palmy Fund,Firm,1
104,Pantera Capital,Firm,1
105,Coins,Coin,2
106,Chronicled,Coin,2
107,Pollinate Capital,Firm,1
108,Private Key Capital,Firm,1
109,Protocol Capital Management,Firm,1
110,Polychain Capital,Coin,2
111,MetaStable,Coin,2
112,Pantera,Coin,2
113,Blocktower,Coin,2
114,Multicoin Capital,Coin,2
115,RRE Ventures,Firm,1
116,Gem,Coin,2
117,Abra,Coin,2
118,Chain,Coin,2
119,Case,Coin,2
120,Mirror,Coin,2
121,Symmetry Fund,Firm,1
122,TokenStack Partners,Firm,1
123,VideoCoin,Coin,2
124,BitMed,Coin,2
125,Orchid,Coin,2
126,Union Square Ventures,Firm,1
127,OpenBazaar,Coin,2
128,Mediachain,Coin,2
